	sham.pval	sham.fdr	sna.pval	sna.fdr	sna.log2Ratio.fwd	sna.log2Ratio.rev	sham.log2Ratio.fwd	sham.log2Ratio.rev	sna.mean	sham.mean	FisherP	FisherFDR
Eef1a1	0.00899904830346441	0.0161786168952994	0.570320180453092	0.579608782740602	-1.189614482	-0.978122343	0.881821213	-0.95042499	-0.1057460695	0.9161231015	0.0321910239653817	0.040390624409394
Eef1a2	0.0086834448994035	0.0158714076216875	0.101756909766491	0.141732838603326	0.601030869	-0.938514098	0.99653337	-0.862994948	0.7697724835	0.929764159	0.00709664242794986	0.0100409940735886
Eef1g	0.896405034906116	0.930338348530323	0.488399139270717	0.502906044397569	-0.212801595	0.328721595	-0.302493041	0.149519521	-0.270761595	-0.226006281	0.799422624092642	0.808541513340847
Eef2	0.0408317982617905	0.0537346465125163	NA	NA	NA	NA	0.795600729	0.255198566	NA	0.2702010815	NA	NA
EG433182	0.00402240402268042	0.00870638765435432	0.34765051629438	0.383275480861648	-0.037162282	-0.168836178	1.210388864	NA	0.065836948	1.210388864	0.0105892210569919	0.0143710857202033
Eif4a1	NA	NA	0.0268726405702876	0.0471026059434254	NA	-1.295588355	NA	NA	1.295588355	NA	NA	NA
Elavl1	0.924711525418186	0.930464117024924	0.162363544281664	0.210196787617756	0.540324906	NA	-0.043809495	NA	0.540324906	-0.043809495	0.434832468688752	0.462661746684833
Elavl2	0.0173922830105299	0.0267386033199267	0.0655294873734321	0.099732683222004	0.960437572	NA	0.652601218	NA	0.960437572	0.652601218	0.00886348582279841	0.012335827582022
Epb4.1l2	2.75977793843612e-05	0.000236687350895778	0.0760590119442211	0.112466406287189	1.038646881	-0.757671884	NA	-2.639984148	0.8981593825	2.639984148	2.95422121798907e-05	8.23718475166111e-05
Epdr1	0.00150223827335249	0.00415324699103335	NA	NA	NA	NA	1.5383395	NA	NA	1.5383395	NA	NA
Eprs	0.0413279162096165	0.05396173130097	0.599618774996378	0.601546809642669	-0.045610102	NA	0.374065718	-0.154682581	-0.045610102	0.2643741495	0.116413139347758	0.129564414504199
FAM120A	0.0012038611274643	0.0036576906652142	0.0230945773544065	0.0417329357208368	1.491083454	-1.203734511	1.747172537	-1.468970444	1.3474089825	1.6080714905	0.00031946313792119	0.000623405264639546
Farsb	0.00149498347202559	0.00415324699103335	NA	NA	NA	NA	1.539878428	NA	NA	1.539878428	NA	NA
fasta:Ighv1-76	0.163013299918576	0.190858988160895	0.000131324108082185	0.000458743607163608	-3.663355555	2.6709083	-3.263403783	1.829159498	-3.1671319275	-2.5462816405	0.000251576819263335	0.000506965408515508
fasta:Ighv13-2	0.0646655826420598	0.079981115373074	0.00309202414414332	0.00797282258655138	-2.213704754	2.661795196	NA	3.09917736	-2.437749975	-3.09917736	0.00190299184350392	0.00303111275671882
fasta:Ighv8-8	0.00448792797929717	0.00928634154206772	4.63954705645008e-06	2.41256446935404e-05	-3.204499011	4.383704292	-3.658865893	4.806994203	-3.7941016515	-4.232930048	3.8910520804808e-07	1.69675385804573e-06
fasta:Ighv9-3	0.0333706980138945	0.0461300825486188	0.000648556580632409	0.00194566974189723	-2.461958547	3.179542897	-3.908247367	2.94512073	-2.820750722	-3.4266840485	0.000254104450107123	0.000508208900214245
fasta:Igkv1-132	3.09920801994253e-09	2.01097562708562e-07	NA	NA	NA	NA	-7.540754737	NA	NA	-7.540754737	NA	NA
fasta:Igkv12-44	NA	NA	1.96911317213735e-06	1.15917605605067e-05	NA	3.939132527	NA	NA	-3.939132527	NA	NA	NA
fasta:Igkv2-137	0.737812799146029	0.80377619509617	5.29843555888467e-05	0.000206638986796502	0.878136767	-4.829182727	-3.357551644	-1.613343538	2.853659747	-0.872104053	0.000435865315647737	0.000810770447288798
fasta:Igkv4-51	NA	NA	5.26177602559079e-09	8.64039010518067e-08	-4.20016998	5.449990488	NA	NA	-4.825080234	NA	NA	NA
fasta:Igkv5-37	0.0179069974049337	0.0271493186461898	5.91941052170267e-05	0.000225226351557467	-3.327000862	NA	-3.701397986	NA	-3.327000862	-3.701397986	1.56425205338507e-05	4.72830734318669e-05
fasta:Igkv6-14	0.214144624648851	0.246341194089063	0.000105485709135282	0.000373994786934181	NA	3.211853261	-2.533492946	2.166008383	-3.211853261	-2.3497506645	0.000264249308694798	0.000524554597856837
fasta:Igkv6-15	NA	NA	7.99970664761026e-07	5.37032683716863e-06	-4.077966605	4.09423607	NA	NA	-4.0861013375	NA	NA	NA
fasta:Igkv6-23	0.318181041404221	0.364744120634108	0.0014730066491688	0.00417798249582424	NA	2.626112011	NA	2.01948843	-2.626112011	-2.01948843	0.00406141025773414	0.00610358829693379
fasta:Igkv9-123	0.134671521188631	0.158806202405232	NA	NA	NA	NA	NA	2.672900504	NA	-2.672900504	NA	NA
fasta:Iglv3	0.0126750677515708	0.0210954103653682	2.41275175054366e-06	1.39403434475856e-05	-3.229044129	4.581411509	NA	3.843079365	-3.905227819	-3.843079365	5.59734287633129e-07	2.25589879561231e-06
Fcgr1	0.772319880777021	0.838591553714983	0.243907145202127	0.289349921304424	-0.890198174	0.714838962	-0.780859365	0.736041974	-0.802518568	-0.7584506695	0.502832165921283	0.532881896952436
Flnb	NA	NA	0.00915262404078159	0.0191652261793547	NA	-1.639984148	NA	NA	1.639984148	NA	NA	NA
Fmr1	0.00242387937566641	0.00604133571662309	0.0335997015295464	0.0569734069414048	NA	-1.216752903	1.263815654	-1.501973853	1.216752903	1.3828947535	0.000848265334683828	0.00150425719350599
Fxr1	0.00433380526873105	0.00914820764580089	0.0145557685775925	0.0280333320753633	NA	-1.498056477	1.082021269	-1.286444943	1.498056477	1.184233106	0.000673151468279562	0.00120985331461056
Fxr2	0.0051012496793601	0.0101707639417715	0.00874434878580586	0.0187082588823953	NA	-1.653491231	1.12631213	NA	1.653491231	1.12631213	0.000491464030933608	0.000901582291229929
